Country,ISO,Year,Renewable_Electricity_Share,Renewable_Production,Per_Capita_CO2,GDP_Growth,Carbon_Rate_2023,comp_RenewElec,comp_RenewProd,comp_Transition,comp_EconRes,comp_PolicyEnable,Opportunity_Score,Opportunity_Category,Flag_RenewElec_Imputed,Flag_RenewProd_Imputed,Flag_GDP_Imputed_opp,Flag_CarbonRate_Imputed_opp
Slovakia,SVK,2021,23.57262,7.06,6.4814,4.9,62.04295,42.7928,65.7658,21.1712,42.1171,89.1892,52.15,Moderate,False,False,False,False
Slovenia,SVN,2021,34.89416,5.44,5.921143,8.2,88.713989,62.1622,63.0631,23.8739,83.7838,95.4955,64.89,High,False,False,False,False
Sweden,SWE,2021,67.3808,115.74,3.424918,6.1,90.3162,81.982,93.6937,45.4955,66.6667,95.9459,79.23,Very High,False,False,False,False
Swaziland,SWZ,2021,94.5946,0.7,0.911889,7.9,,94.1441,33.3333,74.3243,82.2072,39.1892,65.93,High,False,False,False,True
Sint Maarten (Dutch part),SXM,2021,,,14.711011,,,50.0,50.0,5.4054,49.7748,39.1892,41.66,Moderate,True,True,True,True
Seychelles,SYC,2021,12.307693,0.08,5.337406,2.5,,27.027,20.045,27.9279,20.7207,39.1892,26.3,Low,False,False,False,True
Syria,SYR,2021,4.534606,0.76,1.266193,3.4,,16.6667,36.036,69.8198,27.7027,39.1892,34.52,Low,False,False,False,True
Turks and Caicos Islands,TCA,2021,0.0,0.0,7.562677,,,4.0541,4.2793,18.4685,49.7748,39.1892,18.4,Low,False,False,True,True
Chad,TCD,2021,3.2258065,0.01,0.112919,-1.2,,15.7658,11.2613,95.4955,5.4054,39.1892,28.56,Low,False,False,False,True
Togo,TGO,2021,26.984127,0.1699999999999999,0.270916,6.0,,54.955,23.4234,88.2883,65.5405,39.1892,51.3,Moderate,False,False,False,True
Thailand,THA,2021,14.506635,27.11,3.889545,1.5,,31.0811,83.7838,41.4414,14.4144,39.1892,44.53,Moderate,False,False,False,True
Tajikistan,TJK,2021,91.23163,18.0,1.060138,9.4,,92.7928,79.2793,72.5225,87.8378,39.1892,77.59,Very High,False,False,False,True
Turkmenistan,TKM,2021,0.0,0.0,13.088727,4.6,,4.0541,4.2793,7.6577,38.7387,39.1892,15.12,Low,False,False,False,True
Timor-Leste,TLS,2021,0.0,0.0,0.557426,2.9,,4.0541,4.2793,81.0811,22.2973,39.1892,23.67,Low,False,False,False,True
Tonga,TON,2021,12.5,0.01,1.649345,-2.7,,27.9279,11.2613,64.8649,3.3784,39.1892,27.31,Low,False,False,False,True
Trinidad and Tobago,TTO,2021,0.11454754,0.01,23.677599,-1.0,,10.8108,11.2613,1.3514,6.0811,39.1892,13.05,Low,False,False,False,True
Tunisia,TUN,2021,4.7778306,1.0,2.575462,4.4,,18.018,38.7387,52.7027,36.2613,39.1892,34.31,Low,False,False,False,True
Turkey,TUR,2021,35.32963,117.04,5.263368,11.4,9.3701305,63.0631,94.5946,28.3784,91.8919,77.027,72.16,High,False,False,False,False
Tuvalu,TUV,2021,,,0.7094,1.8,,50.0,50.0,77.027,16.4414,39.1892,47.4,Moderate,True,True,False,True
Taiwan,TWN,2021,5.438749,15.65,11.854867,6.5,,19.8198,77.027,9.4595,71.8468,39.1892,43.28,Moderate,False,False,False,True
Tanzania,TZA,2021,44.675644,3.65,0.205366,4.9,,71.6216,56.7568,91.4414,42.1171,39.1892,61.59,High,False,False,False,True
Uganda,UGA,2021,97.045456,4.2700000000000005,0.126063,5.7,15.91996,95.045,58.1081,95.045,62.3874,80.1802,78.68,Very High,False,False,False,False
Ukraine,UKR,2021,14.038017,21.86,4.637058,3.4,-2.6369243,30.6306,80.1802,33.7838,27.7027,5.4054,39.27,Moderate,False,False,False,False
Uruguay,URY,2021,78.06574,12.35,1.966539,5.3,16.260715,86.036,74.3243,59.9099,58.5586,81.0811,74.32,High,False,False,False,False
USA,USA,2021,20.749863,861.5799999999999,14.858668,5.9,,37.8378,99.5495,4.955,64.6396,39.1892,52.56,Moderate,False,False,False,True
Uzbekistan,UZB,2021,8.46141,5.01,3.568847,7.4,,23.8739,60.3604,44.5946,79.0541,39.1892,46.68,Moderate,False,False,False,True
Saint Vincent and the Grenadines,VCT,2021,25.0,0.04,2.047981,0.8,,44.1441,16.4414,59.4595,10.3604,39.1892,33.7,Low,False,False,False,True
Venezuela,VEN,2021,64.48549,61.1,2.827907,1.0,,79.2793,91.8919,50.0,11.2613,39.1892,61.82,High,False,False,False,True
British Virgin Islands,VGB,2021,0.0,0.0,5.093802,,,4.0541,4.2793,29.2793,49.7748,39.1892,20.02,Low,False,False,True,True
Viet Nam,VNM,2021,42.578747,104.2180361,3.344827,2.6,,69.8198,93.2432,46.3964,21.3964,39.1892,60.3,High,False,False,False,True
Vanuatu,VUT,2021,28.571428,0.02,0.547911,0.6,,55.4054,14.6396,82.4324,9.9099,39.1892,40.01,Moderate,False,False,False,True
Wallis and Futuna Islands,WLF,2021,,,2.392571,,,50.0,50.0,55.4054,49.7748,39.1892,49.16,Moderate,True,True,True,True
Samoa,WSM,2021,35.294117,0.06,1.344282,-7.1,,62.6126,18.9189,68.018,1.8018,39.1892,39.86,Moderate,False,False,False,True
Yemen,YEM,2021,17.045456,0.6,0.378289,-1.0,,33.3333,31.982,85.1351,6.0811,39.1892,37.56,Moderate,False,False,False,True
South Africa,ZAF,2021,7.5627236,16.88,7.339827,4.7,16.014624,22.5225,78.8288,19.3694,40.5405,80.6306,47.55,Moderate,False,False,False,False
Zambia,ZMB,2021,92.207794,16.33,0.394194,4.6,2.3239043,93.6937,77.9279,84.6847,38.7387,72.973,77.05,Very High,False,False,False,False
Zimbabwe,ZWE,2021,54.975124,4.42,0.706293,8.4,,74.7748,58.7838,77.4775,85.1351,39.1892,67.4,High,False,False,False,True
